,filename,class,xmin,ymin,xmax,ymax,angle,zloc,weather
38316,007042.png,Van,0.0,153.6636,61.791626,235.9705,2.33,30.42,clone
38317,007042.png,Misc,49.11777,172.09619,138.7756,223.61403,2.18,34.81,clone
38318,007042.png,Car,125.63636,183.31378,238.10664,229.10846,2.1,32.0,clone
38319,007042.png,Van,220.6204,171.98366,284.35916,205.68565,2.01,47.62,clone
38320,007042.png,Misc,288.0013,177.45702,321.1796,202.81374,2.0,52.49,clone
38321,007042.png,Car,396.71606,178.35974,432.9611,200.4053,1.84,51.86,clone
38322,007042.png,Car,356.2367,179.97484,397.8462,203.22151,1.93,53.8,clone
24802,004604.png,Car,590.68475,185.06877,672.2095,253.26173,-1.6,17.14,clone
24803,004604.png,Car,215.08627,181.35283,317.97382,238.27528,2.02,26.88,clone
24804,004604.png,Cyclist,870.39343,170.57414,972.1108,259.17245,2.81,16.29,clone
24805,004604.png,Van,678.29333,160.20876,752.1302,231.2018,-1.67,23.65,clone
24806,004604.png,Pedestrian,457.83835,172.00916,482.3689,251.51595,0.06,17.22,clone
24808,004604.png,Car,437.5951,178.13191,522.9124,224.43092,-2.21,26.06,clone
24809,004604.png,Car,461.16437,183.74591,543.10815,217.46536,-2.36,32.21,clone
24810,004604.png,Car,491.86487,182.64531,558.84485,207.84747,-2.4,39.36,clone
24812,004604.png,Car,580.26556,184.58395,621.8479,221.63382,-1.55,29.62,clone
36777,006760.png,Car,582.1395,175.11868,648.72473,237.78934,-1.58,21.17,clone
36778,006760.png,Cyclist,785.6928,163.07854,827.019,226.08058,-1.88,21.08,clone
36779,006760.png,Tram,469.62024,126.199585,554.4781,216.43643,-1.45,36.4,clone
36780,006760.png,Tram,277.6766,60.039673,526.8361,273.94662,-1.35,20.02,clone
24708,004582.png,Car,575.9738,169.9409,601.7966,191.30978,-1.57,47.58,clone
24709,004582.png,Car,547.22675,169.52084,569.1385,186.98975,-1.53,57.45,clone
11920,002215.png,Car,1128.729,174.28683,1241.6375,273.06876,-1.29,18.43,clone
11921,002215.png,Van,296.69467,152.84172,552.92896,271.84668,2.86,14.21,clone
11922,002215.png,Car,811.4935,177.80241,952.3191,238.13673,2.22,21.71,clone
11923,002215.png,Car,1025.0668,176.67253,1136.9872,224.16585,2.02,31.13,clone
13666,002539.png,Car,346.85184,194.87389,480.2341,284.55383,1.84,13.97,clone
13667,002539.png,Car,520.27924,184.1198,552.25977,207.70361,1.62,44.84,clone
13668,002539.png,Van,567.7004,163.68024,609.21716,191.6132,-2.04,72.28,clone
13669,002539.png,Car,416.5653,183.67448,491.2959,214.55339,2.97,37.11,clone
2583,000483.png,Car,615.8769,173.61707,686.4592,239.8593,-1.55,19.47,clone
2584,000483.png,Car,816.6982,173.10042,1055.6196,302.65652,-1.17,10.84,clone
2585,000483.png,Car,25.446718,187.43939,334.627,318.27454,2.14,12.85,clone
2587,000483.png,Car,195.95105,184.42552,334.62994,247.05936,2.16,22.09,clone
2588,000483.png,Car,409.99133,182.07863,488.32797,215.23315,2.0,33.43,clone
2589,000483.png,Car,676.7228,170.9216,719.82446,194.66914,-1.19,45.75,clone
2591,000483.png,Car,0.0,187.50221,170.68446,254.82706,2.31,23.34,clone
6252,001174.png,Pedestrian,883.83795,152.7535,949.59436,293.3825,2.35,10.19,clone
3324,000618.png,Car,565.1786,169.86464,678.5102,278.2532,-1.58,13.09,clone
3325,000618.png,Cyclist,879.0805,147.15039,954.87805,250.53233,-1.98,14.68,clone
3326,000618.png,Tram,0.0,0.0,473.6628,374.15027,-1.2,11.44,clone
32100,005900.png,Car,943.4762,161.60034,1089.5212,241.47055,1.28,17.56,clone
32102,005900.png,Car,318.08572,185.76361,378.97183,223.82335,-1.71,31.29,clone
32103,005900.png,Car,495.81726,170.11394,586.91766,212.92886,-2.88,32.34,clone
32104,005900.png,Car,110.64711,186.6196,162.52419,220.2155,1.67,46.51,clone
32105,005900.png,Car,280.4656,178.97086,306.37408,201.44075,-1.58,65.77,clone
32106,005900.png,Van,554.01025,142.11067,896.8261,348.5676,-2.18,9.6,clone
32107,005900.png,Car,421.0929,191.23425,553.62976,265.16516,-1.92,16.34,clone
39012,007172.png,Car,578.4623,169.35022,607.9242,190.8614,-1.42,50.5,clone
39013,007172.png,Car,486.10223,171.94164,559.3187,208.11298,-1.08,31.02,clone
39014,007172.png,Car,329.46152,166.03856,397.48322,202.41527,2.05,40.47,clone
10666,001996.png,Car,381.35504,187.39696,473.22314,248.60803,1.73,19.98,clone
10667,001996.png,Van,534.0546,153.8059,597.2896,198.14235,-2.03,47.39,clone
10668,001996.png,Car,0.0,190.93921,244.41489,310.584,-2.95,13.98,clone
28300,005195.png,Car,569.8701,178.12132,624.94946,230.50964,-1.55,23.72,clone
28301,005195.png,Car,444.27838,185.71677,502.53033,221.76941,1.76,33.31,clone
28302,005195.png,Car,637.03564,177.05731,655.2797,192.86673,-1.62,67.77,clone
31946,005867.png,Car,422.42114,184.03389,502.7199,211.16545,-2.99,41.26,clone
1332,000263.png,Pedestrian,539.26733,155.97533,585.2919,276.5661,-1.52,10.82,clone
17898,003316.png,Car,991.59827,205.85872,1241.7281,372.8753,-2.04,5.69,clone
17899,003316.png,Car,814.96454,184.30394,875.818,229.56157,-1.67,28.01,clone
15089,002794.png,Car,713.8792,182.15329,771.685,231.8569,-1.49,25.99,clone
15090,002794.png,Misc,63.36547,90.40987,305.03064,270.41013,-1.29,25.25,clone
15091,002794.png,Car,280.31754,192.0362,328.00812,222.03925,-1.43,43.06,clone
15092,002794.png,Car,0.046315916,202.74835,31.690994,271.0488,-1.09,31.88,clone
15093,002794.png,Car,316.71573,186.4343,356.88788,215.10896,-1.48,50.78,clone
15094,002794.png,Car,793.2188,183.81023,825.41644,204.20065,-1.33,54.05,clone
15096,002794.png,Car,6.026077,206.99643,109.81999,252.10573,-1.23,40.42,clone
27445,005063.png,Car,570.23486,182.50514,621.4533,224.62686,-1.58,25.24,clone
27446,005063.png,Car,506.05737,180.42603,555.0181,213.38509,-1.41,33.1,clone
27447,005063.png,Car,353.98544,181.18492,399.89258,207.03645,1.79,42.08,clone
27449,005063.png,Van,595.333,163.97508,620.4769,195.62758,-1.59,52.48,clone
15495,002872.png,Car,752.66046,151.46783,1020.22015,245.83838,2.72,15.77,clone
15496,002872.png,Car,1092.9092,145.96225,1223.6556,186.97159,-0.7,36.23,clone
15497,002872.png,Car,1059.2822,150.70784,1168.0643,186.31717,-0.65,38.21,clone
15499,002872.png,Car,413.78192,180.73941,483.277,232.95717,1.69,24.88,clone
15500,002872.png,Car,508.80835,175.55829,561.98505,218.42612,1.66,30.66,clone
15501,002872.png,Car,770.9892,154.41039,880.98474,195.54663,-0.28,34.6,clone
15502,002872.png,Car,899.90594,149.24034,963.3822,184.12834,-2.01,46.77,clone
15503,002872.png,Van,1010.90436,142.49373,1071.6652,179.79083,-1.98,50.37,clone
15504,002872.png,Car,944.8335,151.53217,1003.80524,181.91345,-2.06,48.22,clone
15505,002872.png,Car,449.40805,181.62123,508.24826,220.34425,1.73,31.09,clone
15506,002872.png,Car,644.02167,173.09416,679.5821,199.36961,1.43,42.51,clone
15507,002872.png,Car,593.6364,176.50035,622.49365,199.61995,-1.47,53.85,clone
28876,005308.png,Van,0.09952085,161.01477,94.78344,232.71722,2.28,31.71,clone
28877,005308.png,Misc,86.3268,172.38722,166.73003,219.63193,2.14,36.19,clone
28878,005308.png,Car,180.12766,181.023,275.7879,222.01527,2.06,34.73,clone
28881,005308.png,Car,413.57907,176.8521,446.3394,197.18333,1.82,55.38,clone
28882,005308.png,Car,373.9547,179.1159,412.57367,200.38141,1.92,57.01,clone
26990,004987.png,Car,713.6,174.0963,768.1447,196.8356,-2.13,50.18,clone
11066,002076.png,Car,988.9742,139.8891,1161.0865,193.23508,2.5,24.71,clone
11067,002076.png,Car,506.52747,172.5725,550.2179,206.30688,-1.48,34.91,clone
11068,002076.png,Cyclist,671.6228,163.3119,706.4214,196.20296,-0.08,39.73,clone
11069,002076.png,Cyclist,612.3535,164.05145,643.5958,197.3336,-0.11,42.67,clone
11070,002076.png,Cyclist,366.90363,178.79268,392.52063,215.1204,-1.15,34.23,clone
11071,002076.png,Pedestrian,444.4351,173.74449,462.569,210.0818,0.33,39.97,clone
5434,001020.png,Car,0.6941625,188.324,447.80777,371.35724,-1.17,6.8,clone
5435,001020.png,Car,421.67752,180.1829,521.1618,251.65752,-1.38,16.07,clone
5436,001020.png,Car,581.0864,170.60478,636.37494,222.05429,-1.56,24.1,clone
5437,001020.png,Car,535.05334,168.45782,578.30585,207.59439,-1.49,31.32,clone
703,000145.png,Pedestrian,321.53265,156.56078,339.9832,203.08539,-1.4,32.09,clone
704,000145.png,Pedestrian,423.36237,164.12914,436.13184,198.24393,-1.33,40.99,clone
706,000145.png,Car,960.4668,180.12192,1068.8345,226.35532,-2.16,27.67,clone
707,000145.png,Car,1035.8796,182.27144,1155.6215,228.99101,-2.24,28.98,clone
708,000145.png,Car,1096.2582,183.65071,1221.7076,229.74246,0.89,31.13,clone
709,000145.png,Pedestrian,346.79898,155.93651,358.8379,190.47266,-1.24,42.16,clone
710,000145.png,Pedestrian,398.92947,165.83366,430.93555,256.4827,-2.1,14.05,clone
711,000145.png,Pedestrian,504.14648,156.5923,553.2281,253.59242,-2.38,14.08,clone
712,000145.png,Cyclist,679.7914,155.51027,783.4429,269.42517,-2.2,12.16,clone
713,000145.png,Cyclist,80.11946,153.52388,228.51523,334.75098,2.08,9.32,clone
714,000145.png,Car,603.06256,171.10364,638.3669,200.0812,-1.63,37.72,clone
715,000145.png,Pedestrian,297.17877,153.23889,312.4744,194.19165,1.78,37.2,clone
716,000145.png,Pedestrian,220.93047,156.07579,232.71698,196.3889,-2.68,35.04,clone
6049,001135.png,Car,690.8715,190.55669,813.7525,274.77936,-1.77,15.16,clone
21686,004021.png,Pedestrian,885.4167,135.90657,943.9814,296.47128,2.64,9.72,clone
29590,005433.png,Pedestrian,657.6129,136.90839,751.7214,365.64987,0.69,5.93,clone
29591,005433.png,Pedestrian,593.9836,143.30002,711.87604,367.4915,0.62,5.19,clone
29592,005433.png,Pedestrian,305.73538,150.74353,373.45187,320.52765,0.72,7.79,clone
29593,005433.png,Pedestrian,260.51816,133.85428,316.5671,320.86807,0.91,7.26,clone
29594,005433.png,Pedestrian,510.09076,139.08176,531.2491,203.41498,1.29,19.45,clone
29596,005433.png,Pedestrian,543.415,140.21461,559.8113,193.97781,1.49,23.36,clone
29597,005433.png,Pedestrian,571.7642,143.04028,587.4534,192.90384,1.45,22.82,clone
29598,005433.png,Cyclist,461.6149,140.1492,494.91525,187.04936,2.1,27.14,clone
35094,006435.png,Car,801.98535,166.76212,948.5639,222.54248,-0.37,23.06,clone
35095,006435.png,Car,635.90894,166.69128,667.5451,193.30986,-1.65,43.99,clone
22505,004173.png,Car,600.0833,178.80112,628.0755,206.09937,-1.58,45.74,clone
22506,004173.png,Car,495.88675,183.35559,520.7143,200.28374,1.75,59.19,clone
22508,004173.png,Pedestrian,930.9863,158.4689,970.55383,262.35123,-2.0,12.7,clone
34258,006289.png,Car,563.46313,177.39195,590.16437,198.4714,1.64,52.49,clone
15381,002847.png,Car,574.47284,173.51123,610.9253,207.63673,-1.57,37.09,clone
15382,002847.png,Car,0.0,209.64838,51.568638,326.47684,-0.81,11.56,clone
15383,002847.png,Car,165.9903,189.69263,398.01846,319.85934,-1.17,11.1,clone
15384,002847.png,Car,197.20341,178.79276,326.81915,249.47206,-1.15,20.25,clone
15385,002847.png,Car,383.04407,181.67853,478.02933,240.48438,-1.34,20.61,clone
15386,002847.png,Car,463.142,181.77425,517.34,217.50261,-1.41,29.78,clone
15387,002847.png,Misc,512.92633,165.67528,547.70215,204.32776,-1.48,44.62,clone
15388,002847.png,Van,0.0,158.96275,141.27872,265.30588,-0.91,19.8,clone
39345,007236.png,Car,643.45953,176.28773,675.45593,201.191,-1.69,41.92,clone
39346,007236.png,Car,707.0459,183.25311,819.5599,259.6071,-1.79,15.44,clone
39347,007236.png,Car,947.8702,186.98358,1240.8401,373.15195,-2.31,5.65,clone
39348,007236.png,Car,722.77673,175.25082,760.95105,201.94666,-1.83,38.67,clone
39349,007236.png,Car,784.5364,176.57527,874.6673,222.94897,-1.93,25.73,clone
39350,007236.png,Truck,1031.0093,0.0,1241.0486,331.76205,-2.43,10.14,clone
24839,004611.png,Car,594.7646,173.48625,621.9442,199.39299,-1.57,47.68,clone
24840,004611.png,Truck,627.1578,159.4062,661.1001,190.8009,-1.66,74.13,clone
24841,004611.png,Van,233.39363,170.70679,330.4102,227.61533,2.0,32.52,clone
16895,003120.png,Car,593.75665,180.99298,658.77704,235.70929,-1.56,20.94,clone
16896,003120.png,Van,1045.0502,69.772415,1241.4722,374.33075,-2.46,4.5,clone
16897,003120.png,Car,0.04409906,140.83145,129.0779,373.5006,-1.64,6.77,clone
16898,003120.png,Car,50.516792,179.96164,346.52914,357.58963,-1.94,9.29,clone
16899,003120.png,Car,196.45494,181.32513,442.9527,297.10208,-2.12,11.85,clone
16900,003120.png,Car,383.94366,174.87193,520.1472,241.85234,-2.12,18.71,clone
16902,003120.png,Car,479.08994,174.96652,565.306,210.29851,-2.38,31.7,clone
16904,003120.png,Car,763.4765,190.07153,922.41895,283.871,-1.85,13.84,clone
16905,003120.png,Car,715.3795,174.8408,808.8697,240.50446,-1.77,21.0,clone
16906,003120.png,Pedestrian,698.5729,175.7804,723.7487,232.153,-1.21,21.37,clone
16907,003120.png,Car,679.20935,174.02821,727.017,209.03322,-1.69,37.8,clone
16909,003120.png,Car,98.77062,170.45195,232.25732,226.86592,2.13,27.54,clone
16910,003120.png,Van,793.57153,163.14105,895.79724,202.96254,-0.31,52.03,clone
24970,004635.png,Car,637.3609,170.82373,674.4728,202.64346,-1.69,41.44,clone
24971,004635.png,Car,661.19086,178.22809,706.4507,211.14531,-1.69,31.79,clone
24972,004635.png,Truck,651.8659,147.85909,687.4398,188.34296,-1.71,67.26,clone
24973,004635.png,Car,749.30133,176.09006,814.36273,212.79173,-1.84,31.27,clone
24974,004635.png,Van,1108.8341,123.20758,1241.5673,365.37173,-2.37,9.86,clone
24975,004635.png,Car,802.5714,175.28389,868.51794,200.92293,-2.45,42.91,clone
11527,002152.png,Car,702.5192,176.06471,845.59094,277.31924,-1.78,13.43,clone
11528,002152.png,Car,56.780304,183.7621,275.9365,261.86285,0.57,17.76,clone
11529,002152.png,Car,845.3664,184.83067,1242.0,373.04562,-2.06,6.37,clone
11530,002152.png,Car,681.7978,173.46759,764.70404,238.12027,-1.72,19.53,clone
11531,002152.png,Car,398.36423,181.96121,488.34857,244.33012,1.75,20.28,clone
11532,002152.png,Car,447.72864,173.22467,514.8001,226.16966,1.74,25.49,clone
11533,002152.png,Car,658.3198,173.40466,710.1062,216.2172,-1.67,27.96,clone
11534,002152.png,Car,1161.83,205.88995,1241.8528,375.0,-2.71,3.5,clone
11535,002152.png,Car,488.78336,174.52954,536.57306,217.33156,1.69,31.08,clone
11536,002152.png,Van,637.1807,147.36885,690.117,202.76663,-1.64,41.92,clone
11537,002152.png,Car,535.828,178.15231,559.3325,193.96846,-1.7,66.02,clone
1776,000344.png,Car,568.3541,174.17851,623.6555,227.20157,-1.55,24.04,clone
1777,000344.png,Car,294.58105,181.02388,413.22256,256.28024,1.89,19.1,clone
1778,000344.png,Car,499.797,174.33235,535.3894,198.05232,1.7,48.72,clone
1779,000344.png,Car,1102.6646,158.07864,1239.3567,202.80925,-2.22,30.87,clone
24407,004521.png,Pedestrian,563.3472,153.91846,624.35815,317.90463,3.12,7.95,clone
9699,001813.png,Car,82.32773,181.45523,204.33318,225.50404,2.29,34.73,clone
9700,001813.png,Car,304.08334,174.33882,383.54065,207.79921,2.55,42.38,clone
9701,001813.png,Car,251.30763,179.80449,329.1658,206.93867,2.71,49.35,clone
9702,001813.png,Car,449.65665,171.0258,517.92145,195.86833,3.07,51.74,clone
28197,005179.png,Car,829.6571,194.00177,1242.0,371.9266,1.1,6.19,clone
28198,005179.png,Van,530.22974,163.9309,602.61487,225.5183,1.72,24.17,clone
28199,005179.png,Van,711.6834,168.67212,777.3578,228.55846,-1.67,23.78,clone
28200,005179.png,Car,583.1919,174.47943,625.7319,210.24422,1.64,32.91,clone
28202,005179.png,Car,341.3827,173.43396,512.9078,227.91028,-2.89,20.8,clone
18325,003397.png,Car,568.256,174.75885,603.8496,205.0147,-1.57,34.04,clone
18326,003397.png,Car,522.25934,174.95645,554.1566,197.96312,-1.53,45.07,clone
18327,003397.png,Van,579.389,160.06645,601.8953,187.3462,-1.61,57.49,clone
31342,005752.png,Truck,431.7181,118.80394,543.5468,234.99542,1.71,25.06,clone
31343,005752.png,Car,545.14136,179.20361,570.4632,200.85635,1.63,57.79,clone
31344,005752.png,Car,356.69925,183.20328,388.08017,202.38441,-1.25,65.5,clone
31345,005752.png,Car,583.70166,178.32481,621.9537,215.76643,-1.56,34.01,clone
33466,006142.png,Car,524.4622,180.19092,574.0357,223.47266,1.59,26.1,clone
17065,003157.png,Car,567.7451,180.69775,619.0727,229.30399,-1.56,25.65,clone
17066,003157.png,Car,300.88208,195.47649,404.501,257.1284,1.9,21.39,clone
17067,003157.png,Car,480.00247,186.05405,535.0412,226.25648,1.72,29.82,clone
17068,003157.png,Cyclist,12.726665,199.45671,95.464355,280.8485,2.19,20.67,clone
14963,002773.png,Car,347.81146,197.66756,500.23608,311.33368,1.79,11.92,clone
14964,002773.png,Car,681.5473,187.46744,781.54553,261.00174,-1.72,17.54,clone
14965,002773.png,Car,421.16614,191.85027,522.39844,264.48087,-1.4,17.52,clone
14966,002773.png,Car,666.0057,190.47964,734.2581,241.2147,-1.74,22.62,clone
14967,002773.png,Car,515.946,187.43338,561.1044,228.93016,-1.5,30.2,clone
14969,002773.png,Car,631.102,184.90004,655.5864,206.2031,-1.62,50.54,clone
26775,004955.png,Pedestrian,480.98407,176.74841,509.55698,258.59677,-1.75,13.87,clone
26776,004955.png,Pedestrian,450.1652,172.49702,481.10748,260.60803,-1.62,13.76,clone
26777,004955.png,Pedestrian,1194.4078,157.45581,1241.8489,328.83325,2.18,9.29,clone
26778,004955.png,Pedestrian,677.4352,168.83952,697.9672,227.71935,1.2,22.25,clone
26779,004955.png,Pedestrian,706.1177,167.59814,726.4157,223.75113,1.11,22.12,clone
34674,006370.png,Car,691.6175,170.15445,897.3472,307.38617,-1.83,10.29,clone
34675,006370.png,Car,0.0,185.3115,231.23755,270.27362,-2.52,16.41,clone
34676,006370.png,Car,472.05872,169.47745,537.2356,224.43892,-1.5,23.71,clone
34677,006370.png,Car,639.5091,170.14801,718.32697,226.29965,-1.77,22.49,clone
34678,006370.png,Car,510.2297,173.43616,556.21533,204.32439,-1.4,37.37,clone
34679,006370.png,Car,619.2595,165.27539,658.31415,200.35669,-1.58,39.42,clone
6530,001225.png,Pedestrian,915.80945,157.0138,973.691,281.1185,1.15,11.44,clone
6531,001225.png,Car,473.76242,173.31017,577.8759,210.4812,2.56,31.58,clone
6532,001225.png,Car,173.72145,190.76074,384.27573,328.37823,1.79,10.95,clone
6533,001225.png,Car,624.3837,172.23808,726.9319,205.03885,2.63,35.08,clone
6535,001225.png,Car,268.80167,175.83067,409.18533,226.71724,0.36,26.34,clone
10385,001941.png,Car,0.0,165.8753,341.54065,307.85953,0.52,10.66,clone
10386,001941.png,Van,0.0,73.321594,414.36255,279.0397,0.52,13.1,clone
10387,001941.png,Car,755.0608,181.49207,1100.1,373.08746,-1.91,8.15,clone
10388,001941.png,Car,882.38873,180.7203,1118.0981,270.06482,-0.4,13.94,clone
10389,001941.png,Car,736.89545,172.06236,843.50073,216.2205,2.83,17.83,clone
10390,001941.png,Car,285.27167,167.60884,453.55594,228.98119,-2.85,20.08,clone
10391,001941.png,Car,635.81683,171.21841,664.282,192.66934,-1.63,50.82,clone
10392,001941.png,Car,394.6274,167.95784,515.1061,214.29715,0.15,44.82,clone
10393,001941.png,Car,686.67554,171.85907,769.36536,202.7172,-0.19,36.69,clone
21564,003994.png,Car,285.61133,172.58864,330.84384,192.75058,-1.17,58.92,clone
21565,003994.png,Car,213.05405,156.89369,266.4215,189.13591,-1.09,62.77,clone
21566,003994.png,Car,569.59607,167.8362,617.6245,214.33032,-1.55,27.8,clone
21214,003929.png,Car,0.329118,209.2157,259.5543,372.08817,2.34,4.3,clone
21215,003929.png,Car,419.59167,183.32939,526.2577,265.79364,1.74,16.6,clone
21216,003929.png,Car,498.58398,183.95464,556.61975,232.36713,1.68,25.54,clone
21217,003929.png,Van,525.65375,162.69922,572.5533,213.42876,1.65,38.12,clone
21219,003929.png,Car,670.24817,177.63368,818.6753,236.25664,-0.19,21.83,clone
21220,003929.png,Car,656.94385,182.7615,767.32355,220.91553,-0.14,27.73,clone
21221,003929.png,Car,632.98474,175.64098,722.0072,212.9599,-0.02,35.42,clone
21222,003929.png,Van,552.8955,169.838,584.60016,203.80252,1.65,54.85,clone
21223,003929.png,Van,220.06805,144.96658,484.25046,349.88416,1.87,10.05,clone
21224,003929.png,Cyclist,1184.2056,145.43875,1242.0,309.96094,0.83,11.74,clone
33899,006218.png,Car,568.4447,170.31317,595.9152,192.22754,-1.5,51.64,clone
33900,006218.png,Car,616.3734,168.38022,637.1565,188.25818,-1.54,58.96,clone
32234,005920.png,Car,594.88184,180.94011,649.0508,226.72704,-1.58,24.31,clone
32235,005920.png,Pedestrian,783.7431,178.58205,795.8307,213.3029,1.3,34.0,clone
32236,005920.png,Car,581.4012,181.6593,621.07666,214.4839,1.84,54.59,clone
32237,005920.png,Cyclist,733.24756,176.95628,759.34863,207.74132,3.01,45.21,clone
32238,005920.png,Van,631.04285,172.51276,659.8618,201.91473,-1.59,52.39,clone
35657,006546.png,Car,273.08176,189.36453,413.6152,290.36606,1.89,16.11,clone
35658,006546.png,Pedestrian,704.2691,185.83397,729.90515,236.06102,-0.15,25.05,clone
14540,002697.png,Car,1064.5582,152.21312,1241.4314,264.05774,1.94,14.73,clone
14541,002697.png,Car,951.463,151.48076,1140.1805,242.19385,2.05,16.78,clone
14542,002697.png,Car,1164.7301,194.27423,1242.0,375.0,-2.74,3.54,clone
14543,002697.png,Car,796.35266,184.04863,1181.3607,372.75937,-1.93,7.43,clone
14544,002697.png,Car,0.66303307,177.63287,347.91556,372.29694,2.18,6.55,clone
14545,002697.png,Van,248.29735,139.39497,462.1153,304.2639,1.92,11.54,clone
14546,002697.png,Car,900.0015,158.73056,1051.1475,230.96774,2.1,19.31,clone
14549,002697.png,Car,393.74713,170.13023,501.51312,252.70648,1.78,16.53,clone
14550,002697.png,Car,450.38632,171.3932,527.03217,229.58328,1.73,22.15,clone
14551,002697.png,Truck,594.7872,119.54873,687.6365,205.40738,-1.42,35.68,clone
15568,002886.png,Truck,19.764862,0.0,415.08002,373.80777,2.19,6.69,clone
23793,004401.png,Car,0.0,222.0598,368.3752,372.025,2.07,5.46,clone
23794,004401.png,Car,726.58594,192.52779,948.14294,332.55887,-1.83,10.35,clone
23795,004401.png,Car,251.00221,201.1696,467.76218,344.91812,-1.26,10.4,clone
23796,004401.png,Car,694.1124,194.68462,807.2919,274.83908,-1.79,15.54,clone
23798,004401.png,Car,484.61584,191.04024,546.75165,243.22072,-1.47,22.96,clone
23799,004401.png,Van,656.6745,178.24574,720.1664,237.20003,-1.71,24.93,clone
23800,004401.png,Car,523.9059,188.5767,566.79803,223.04205,1.63,33.76,clone
23801,004401.png,Car,635.5226,185.05576,664.03625,211.07576,-1.63,43.39,clone
38018,006988.png,Car,175.00925,173.44594,462.33685,371.7551,1.82,7.87,clone
38019,006988.png,Car,416.51822,179.11977,530.42804,266.68576,1.76,15.0,clone
29716,005461.png,Car,986.1643,178.61043,1241.38,371.31088,-0.76,6.98,clone
29717,005461.png,Car,0.054903585,187.4702,97.24481,362.456,-2.35,9.94,clone
29719,005461.png,Car,0.94220376,171.1969,167.82838,307.73596,-2.54,12.09,clone
29723,005461.png,Car,464.76602,176.75174,507.2282,204.56981,-1.81,45.15,clone
10632,001989.png,Car,550.70416,187.6831,597.3134,226.02231,-1.59,27.16,clone
10633,001989.png,Car,498.1243,186.13567,534.8187,212.67436,-1.52,39.08,clone
10634,001989.png,Car,799.6059,190.02211,872.2945,219.7554,2.55,38.61,clone
10635,001989.png,Car,913.9617,190.47,991.58704,221.16643,2.28,43.92,clone
10636,001989.png,Van,556.8995,169.04,582.7418,200.70633,-1.62,52.2,clone
14960,002772.png,Car,0.04477272,209.16624,385.57947,372.01434,2.17,4.42,clone
14961,002772.png,Car,514.85846,178.31561,595.7765,235.49884,1.73,20.5,clone
14962,002772.png,Pedestrian,900.1708,164.63951,917.0705,210.7619,1.05,27.77,clone
38592,007099.png,Car,590.8328,171.89679,651.57385,220.67828,-1.6,22.11,clone
38593,007099.png,Car,4.949044,186.57053,299.36877,336.3317,-1.97,10.68,clone
38594,007099.png,Car,179.23311,185.06227,393.16092,286.6761,-2.05,13.06,clone
38595,007099.png,Car,333.05215,173.06567,449.99152,234.54305,1.08,20.62,clone
38596,007099.png,Car,460.9193,181.55681,558.3029,242.54501,-1.42,17.58,clone
38597,007099.png,Car,427.6398,173.35936,506.74442,209.91737,0.91,30.1,clone
38598,007099.png,Van,785.3152,0.0,1242.0,374.37405,-2.08,6.34,clone
38599,007099.png,Pedestrian,800.70013,173.96402,840.3785,281.61838,-1.84,10.73,clone
38600,007099.png,Car,709.5689,174.34181,858.1446,272.5192,-1.78,13.37,clone
38601,007099.png,Car,686.13165,175.83458,780.68195,238.7245,-1.73,18.09,clone
38602,007099.png,Car,672.6166,166.53885,737.657,218.03763,-1.74,24.01,clone
38603,007099.png,Car,639.92084,172.12804,675.29553,198.22858,-1.66,41.98,clone
38604,007099.png,Van,0.0,140.21472,239.49643,280.72742,2.17,16.3,clone
28602,005251.png,Car,0.52413255,148.45552,208.8028,370.23865,-2.42,9.62,clone
28603,005251.png,Car,863.55066,200.29013,1241.7758,371.89316,-2.2,4.88,clone
28604,005251.png,Car,688.95013,172.64185,810.46985,268.1481,-1.72,14.81,clone
28605,005251.png,Car,10.867275,190.55426,303.5327,313.66782,0.6,11.58,clone
28606,005251.png,Car,133.4617,188.02342,366.26538,284.2999,0.51,13.64,clone
28608,005251.png,Car,666.58136,180.06721,747.23456,237.57883,-1.74,20.77,clone
28609,005251.png,Car,649.67664,174.54758,698.7614,217.3376,-1.7,29.71,clone
28610,005251.png,Car,416.86752,170.26463,503.87753,214.06459,-2.95,33.94,clone
28612,005251.png,Car,637.654,179.88269,665.2379,202.82707,-1.64,43.45,clone
18615,003457.png,Car,263.29977,188.7781,500.92502,333.30682,1.94,10.36,clone
18616,003457.png,Car,458.51776,181.83226,578.78253,262.48093,1.93,16.22,clone
18617,003457.png,Car,566.53796,180.70378,646.4856,234.24545,1.86,21.67,clone
18618,003457.png,Car,789.5311,162.1726,827.76605,190.07759,-1.33,49.49,clone
23557,004356.png,Car,348.3996,179.79886,497.16525,304.80048,1.7,11.85,clone
23558,004356.png,Car,446.8908,183.85915,532.1657,249.10237,1.73,19.16,clone
30357,005576.png,Car,631.08246,170.19514,685.3657,223.32327,-1.6,22.33,clone
30358,005576.png,Car,284.1159,190.5829,456.4129,298.35767,1.86,13.03,clone
30359,005576.png,Car,472.24298,175.53973,537.9492,219.57568,1.82,27.86,clone
11633,002168.png,Car,0.0,185.57675,171.59921,327.44418,-2.53,11.32,clone
11634,002168.png,Car,661.9748,178.00726,778.1948,224.97824,-0.25,24.46,clone
11635,002168.png,Car,732.0206,181.87814,977.637,270.87552,-0.41,14.15,clone
11636,002168.png,Car,62.87461,164.62386,328.25638,262.93115,0.38,16.45,clone
11637,002168.png,Car,160.67912,180.98654,361.10498,247.91132,-2.75,18.77,clone
